OBFCM data source,ID,OBFCM ReportingPeriod,Registration Year,Total fuel consumed (lifetime) (l),Total distance travelled (lifetime) (km),Total distance travelled in charge depleting operation with engine off (lifetime) (km),Total distance travelled in charge depleting operation with engine running (lifetime) (km),Total distance travelled in driver-selectable charge increasing operation (lifetime)  (km),Total fuel consumed in charge depleting operation (lifetime) (l),Total fuel consumed in driver-selectable charge increasing operation (lifetime) (l),Total grid energy into the battery (lifetime) (kWh),Used in calculation
OEM,8816144,2021,2021,1.2,6.5,0,0,0,0,0,0,0
OEM,8816149,2021,2021,1,4.5,0,0,0,0,0,0,0
OEM,8815741,2021,2021,8.3,108.4,0,0,0,0,0,0,0
OEM,9823982,2021,2021,1,4.9,0,0,0,0,0,0,0
OEM,8398195,2021,2021,4.7,42.2,0,0,0,0,0,0,0
OEM,8398199,2021,2021,1,5.1,0,0,0,0,0,0,0
OEM,8398201,2021,2021,1,5.5,0,0,0,0,0,0,0
OEM,8398203,2021,2021,5.2,53.2,0,0,0,0,0,0,0
OEM,8398207,2021,2021,1,4,0,0,0,0,0,0,0
OEM,8816016,2021,2021,1.1,5.5,0,0,0,0,0,0,0
OEM,8816024,2021,2021,1.2,7,0,0,0,0,0,0,0
OEM,8804925,2021,2021,1.1,7.7,0,0,0,0,0,0,0
OEM,8805025,2021,2021,131.9,1859.6,0,0,0,0,0,0,1
OEM,8805101,2021,2021,1.2,5.5,0,0,0,0,0,0,0
OEM,8805161,2021,2021,1.7,8.7,0,0,0,0,0,0,0
OEM,8805162,2021,2021,1.3,10.8,0,0,0,0,0,0,0
OEM,8804672,2021,2021,1.7,9.9,0,0,0,0,0,0,0
OEM,8804673,2021,2021,1.7,10.2,0,0,0,0,0,0,0
OEM,8816187,2021,2021,1.2,8.7,0,0,0,0,0,0,0
OEM,8816370,2021,2021,1.5,5.5,0,0,0,0,0,0,0
OEM,8816461,2021,2021,1.1,4,0,0,0,0,0,0,0
OEM,9815138,2021,2021,301.7,3635,0,0,0,0,0,0,1
OEM,8816491,2021,2021,2.4,16,0,0,0,0,0,0,0
OEM,8816309,2021,2021,2.6,8,0,0,0,0,0,0,0
OEM,8816310,2021,2021,2.4,7.7,0,0,0,0,0,0,0
OEM,8816312,2021,2021,2.7,12.1,0,0,0,0,0,0,0
OEM,8816319,2021,2021,2,10.5,0,0,0,0,0,0,0
OEM,8816326,2021,2021,1.6,6.7,0,0,0,0,0,0,0
OEM,8815617,2021,2021,38.6,375.3,0,0,0,0,0,0,0
OEM,8815642,2021,2021,1.5,13.9,0,0,0,0,0,0,0
OEM,8815733,2021,2021,1.1,5.3,0,0,0,0,0,0,0
OEM,8815759,2021,2021,1.9,9.4,0,0,0,0,0,0,0
OEM,8815956,2021,2021,1.7,5,0,0,0,0,0,0,0
OEM,8816019,2021,2021,1,4.6,0,0,0,0,0,0,0
OEM,8816147,2021,2021,1.2,5.5,0,0,0,0,0,0,0
OEM,8815955,2021,2021,1.5,10.3,0,0,0,0,0,0,0
OEM,8815892,2021,2021,1.5,12.2,0,0,0,0,0,0,0
OEM,8816026,2021,2021,1.4,5.9,0,0,0,0,0,0,0
OEM,8815944,2021,2021,1.7,6.9,0,0,0,0,0,0,0
OEM,8815972,2021,2021,1.1,11.3,0,0,0,0,0,0,0
OEM,8815643,2021,2021,1.9,5.5,0,0,0,0,0,0,0
OEM,63006476,2021,2021,430,5338,NULL,NULL,NULL,NULL,NULL,NULL,1
